lema,nilai,nilai1
caul,kain halus dari sebuah kota pantai di India sebelah barat,selendang sutra
cawak,lekuk (pada bagian kulit tubuh dsb),lesung
cawan,cangkir yang tidak bertelinga,mangkuk untuk makan nasi dsb
cecak,binatang merayap biasa hidup di rumah (pada langit-langit di dekat lampu) makanannya binatang kecil (nyamuk dsb) sering berbunyi cek cek,cicak
cecere,(cak) ikan-ikan kecil,orang awam
cecunguk,lipas,(cak) mata-mata
cedera,perselisihan,pertengkaran
cegar,aliran air yang deras di sungai (yang dasarnya dari batu-batu terhampar),serasah
cek,(cak) panggilan terhadap kakak perempuan,encek
cekak,ukuran lingkar sebesar lingkaran yang terbentuk dengan cara merapatkan ujung ibu jari pada ujung jari-jari lainnya,tidak cukup
cekakak,gelak tawa terbahak-bahak,(Jw) tiruan bunyi suara orang tertawa geli yang ditahan-tahan
cekaman,pegangan atau genggaman dengan cakar (kuku) atau tangan,cengkeraman
cekarau besar,orang yang suka menyombong atau membual,orang yang suka mencampuri urusan orang lain
cekel,lembing yang kecil,adj kikir
ceker,kaki dan kuku yang panjang,cakar (pada ayam itik dsb)
ceki,kartu judi berbentuk empat persegi panjang kecil-kecil (sebanyak 180 helai),permainan judi dengan kartu kecil
cekokan,obat cekok,(ki) ajaran atau penerangan yang diterima begitu saja secara terus-menerus
cekur,tumbuhan yang umbinya untuk bahan obat-obatan daunnya tumbuh rapat di atas tanah bunganya putih baunya wangi,Kaempferia galanga
cela,sesuatu yang menyebabkan kurang sempurna,cacat
celaan,hasil mencela,kecaman
celaga,bam kemudi,tangkai kemudi
celana,pakaian luar yang menutup pinggang sampai mata kaki kadang-kadang hanya sampai lutut yang membungkus batang kaki secara terpisah terutama merupakan pakaian lelaki,(cak) cawat
celemek,(Jw) kain kecil penutup baju pada dada anak kecil sebagai alat untuk menjaga kebersihan (dari ingus makanan dsb),kain penutup baju dari dada atau pinggang sampai ke lutut sebagai alat untuk menjaga kebersihan (dipakai pada waktu memasak membersihkan rumah dsb)
celempong,(Mus) alat musik perkusi yang terbuat dari logam perunggu atau besi berbentuk bundar terdapat di daerah Kuantan dan Riau,talempong
celempung,(Mus) alat musik perkusi dengan kotak suara berbentuk trapesium dengan belasan dawai terentang di atasnya,alat musik petik daerah Jawa Barat yang terbuat dari bambu beruas dengan dawai dari lapisan kulit bambu itu sendiri yang dikelupas ditarik ke atas dan diberi pasak di bawahnya
celeng,(Jw) babi hutan,babi yang liar
celengan,tabung (terbuat dari tanah plastik dsb biasanya berbentuk binatang seperti babi hutan dsb) untuk menyimpan uang,tabungan
celepik,tiruan bunyi barang kecil (cecak kertas dsb) yang jatuh di lantai,sudut kertas atau kain yang berlipat sedikit
celepuk,tiruan bunyi barang kecil jatuh di lantai dengan keras,jampuk
celorot,(Jw) anak panah,pintasan kilat
cema,(Mk) tuduhan,cemar
cemara,secekak bulu kuda (lembu kerbau dsb) yang dipakai sebagai hiasan pada tombak dsb,secekak bulu ekor kuda dsb yang diberi tangkai untuk berkipas mengusir lalat dsb
cembul,tempat tembakau (gambir dsb) dibuat dari logam (biasa ditaruh dalam cerana atau puan),tonjolan kecil dan bundar (seperti pada kepala jarum pentol)
cemekian,tumbuhan yang bijinya dibuat obat pencuci perut atau pencahar,Croton Tiglium
cempaka,pohon yang bunganya berbau harum berwarna putih kekuning-kuningan atau kuning (ada bermacam-macam seperti -- ambon,Michelia figo
cempana,pohon yang daunnya menyerupai daun terup,Teysmanniodendron pteropodum
cempedak,pohon yang buahnya seperti nangka tetapi dagingnya lebih lembek dan lebih harum baunya,Artocarpus champeden
cempelung,perahu yang dijalankan dengan dayung,→ cemplung
cena,ciri,tanda
cenangkas,pedang yang lurus,lamang
cencala,burung yang menyerupai murai,Rhipidura javanica
cendana,pohon yg kayunya keras dan berbau harum,Santalum album
cendana kering,cendana yang sudah tidak berbau harum lagi,(ki) orang yg sudah tidak berguna lagi
cendekiawan,orang cerdik pandai,orang intelek
cendera,→ candra,→ cendera mata
cendera mata,pemberian (sebagai kenang- kenangan sebagai pertanda ingat dsb),tanda mata
cengkal,(Jw) satuan ukuran panjang sekitar 37m atau 1kaki,tombak
cengkam,genggaman (pegangan) dengan cakar (kuku),cengkeraman
cengkau,(Cn) perantara dalam perdagangan,pialang
cengkerama,percakapan untuk menggembirakan hati,senda gurau
cengkih,tanaman produksi pohonnya tinggi daunnya rimbun hidup di dataran tinggi yang bunganya (buahnya) harum dan pedas segar rasanya dipakai sebagai rempah-rempah isi rokok kretek dsb,Eugenia aromatica
centangan,tandu,(Jk) kobokan
centeng,penjaga rumah (pabrik gudang dsb) pada waktu malam dsb,penjaga malam
centung,sejambak rambut pada kepala burung dsb,jambul
cepak,tiruan bunyi orang mengunyah makanan,kecap
cepengan,mata uang setengah sen,tempat pelacuran kelas rendah
cepuk,kotak kecil (dari kayu logam dsb) tempat perhiasan sirih dsb,tiruan bunyi batu jatuh ke dalam air dsb
ceraka,pengukup pakaian dsb (dibuat dari rotan dsb),tumbuhan yang akarnya dapat dipakai sebagai obat
cerakin,peti yang di dalamnya berkotak-kotak tempat penyimpanan bahan obat-obatan,pendadah
ceramah,pidato oleh seseorang di hadapan banyak pendengar mengenai suatu hal pengetahuan dsb,adj suka bercakap-cakap (tidak pendiam)
cerat,bagian pada cerek (kendi teko keran dsb) yang berbentuk corong kecil untuk menuang air,(Fis) talang yang berbentuk sedemikian rupa sehingga meningkatkan kecepatan air yang melaluinya sementara tekanannya turun
cercah,sinar yang dapat ditangkap mata,v → mencercah
cercak,burik (bopeng) yang tidak berapa dalam,bercak
cerek,tempat air minum yang bercerat dibuat dari loyang dsb,alat untuk menjerang air rupanya seperti cerek dibuat dari tembaga kaleng dsb
ceriga,(kl) pedang pendek (seperti golok yang agak lengkung sedikit),sewar
cerita,tuturan yang membentangkan bagaimana terjadinya suatu hal (peristiwa kejadian dsb),karangan yang menuturkan perbuatan pengalaman atau penderitaan orang
cerita fantastik,cerita yang melukiskan keadaan adikodrati (supernatural),cerita yang didasarkan pada fantasi
cerita picisan,cerita yang terbit dalam majalah picisan,cerita yang bersifat picisan
cermai,pohon yang batangnya lurus bercabang-cabang kayunya mudah patah daunnya sejajar buahnya kecil-kecil bentuknya bulat kecil dan beralur berwarna kuning dan rasanya masam,Phyllanthus acidus
cermin,kaca bening yang salah satu mukanya dicat dengan air raksa dsb sehingga dapat memperlihatkan bayangan benda yang ditaruh di depannya biasanya untuk melihat wajah ketika bersolek dsb,(ki) sesuatu yang menjadi teladan atau pelajaran
cerocok,pancang-pancang yang dipasang di tepi laut,tembok tumpuan arus (pengempang ombak)
ceruk,relung yang masuk ke dinding (tembok tanah dsb),lekuk lubang
cerup,tiruan bunyi mulut mengisap air dsb,tiruan bunyi benda kecil yang jatuh
cetak,cap (terutama yang dipakai untuk membuat buku dsb),acuan (untuk membuat batu bata kue dsb)
cetak awal,(Graf) cetakan dengan atau tanpa tinta yang masih akan ditumpangi cetakan warna lain,terbitan pendahuluan sebuah artikel atau karya tulis lain yang akan diterbitkan dalam bentuk buku
cetakan,sesuatu yang telah dicetak,hasil mencetak
cetera,(kl) payung (terutama payung kebesaran seperti payung ubur-ubur),→ cerita
ceti,orang yang berasal dari India Selatan biasanya menjadi pedagang (kebanyakan juga menjadi pelepas uang),orang yang meminjamkan uang dengan bunga (yang tinggi)
cetok,(Jk) tudung kepala (seperti yang dipakai oleh petani Cina),topi gabus
cetusan,bunga api yang terloncat,kilatan api
ciak,tiruan bunyi seperti bunyi anak burung,burung kecil sebangsa pipit
cibuk,bumbung tempat air untuk pencuci kaki,cebok
cicit,anak dari cucu (secara berurutan,tiruan bunyi suara tikus atau anak burung
cik,encik,kecik (berarti kecil muda)
cikal bakal,orang (sesepuh) yang mula-mula mendirikan desa atau negara,pendiri
cikar,kereta beroda yang ditarik oleh lembu atau kuda,pedati
cili,cabai (lombok) besar,cabai rawit
Cina,sebuah negeri di Asia,Tiongkok
Cina perantauan,nenek moyang dan kebudayaan bangsa Cina yang hidup di luar perbatasan Cina daratan dan Taiwan,keturunan Cina yang tinggal di luar RRC dan Taiwan
cincau,tumbuhan yang daunnya dapat diperas menjadi kental untuk isi minuman,Cyclea barbata
cincin,perhiasan berupa lingkaran kecil yang dipakai di jari ada yang berpermata ada yang tidak,segala sesuatu yang berbentuk lingkaran (seperti gelang-gelang kecil pada tombak atau mata rantai)
cincong,perbuatan yang tidak sewajarnya,tingkah
cincu,wakil pemilik perusahaan kapal,nakhoda kapal
cindai,kain sutra yang berbunga-bunga,sabuk dari sutra yang berbunga-bunga
cindur,→ cindur mata,(ki) kekasih
cintamani,(kl) intan yang bertuah,ular yang mendatangkan bahagia (terutama dalam percintaan)
cipan,(kl) senjata seperti kapak,(ark) badak tidak bercula
ciri,(Sas) mantra (doa) yang dibacakan pada waktu penobatan raja,ceria
cirit,kotoran manusia (binatang),tahi
cit,tiruan bunyi suara tikus atau anak burung,kain cita
cita,rasa,perasaan hati
cita rasa,rasa seperti rasa lezat sedap,(Tern) derajat penerimaan ternak terhadap bahan makanan atau ransum
cita-cita,keinginan (kehendak) yang selalu ada di dalam pikiran,tujuan yang sempurna (yang akan dicapai atau dilaksanakan)
citra,(kl) rupa,gambar
ciu,(kl) tikar rangkap tiga dihiasi emas (perak),(Cn) minuman keras
ciuman,hirupan dengan hidung,kecupan
cocok,benda yang runcing tajam untuk menusuk sesuatu (seperti penyemat jarum),tusuk
cocor,paruh yang lebar (seperti paruh itik angsa),sudu
cocor merah,(ki) pesawat pemburu Mustang (19451949),pelacur
cogan,panji-panji sebagai tanda,lencana yang mengandung semboyan
cokek,(Jk) kesenian tradisional Betawi yang diiringi gambang keromong dengan penari wanita yang juga bersedia diajak menari bersama para tamu,penari wanita dari rombongan tontonan cokek yang dapat diajak menari bersama
cokelat,pohon yang termasuk jenis tanaman daerah panas tingginya antara 5m berbunga dan berbuah sepanjang tahun buahnya berwarna ungu atau kuning bergantungan pada batang yang besar bentuknya lonjong panjangnya antara 1520 cm mengandung biji seperti kacang-kacangan antara 50100 biji biasa diolah menjadi bubuk atau kristal dibuat minuman atau makanan lezat lainnya,Theobroma cacao
colak,pohon culak Callicarpa maingayi,adj (ark) tidak teratur
colek,sentuhan dengan ujung jari dsb,penggolong penyebutan sesuatu yang sedikit sekali (sebanyak yang diambil dengan ujung jari)
colekan,sentuhan,gamitan (palitan) dengan ujung jari
colok,suluh yang dibuat dari kain usang dsb yang terpilin dan dicelupkan ke dalam minyak,lidi dsb yang diberi berdamar atau berbelerang untuk pelita (pengganti gores api dsb)
comblang,(Jk) orang yang menghubungkan laki-laki dan perempuan dalam perjodohan atau percintaan,muncikari
comek,bulu yang tumbuh di bawah bibir bawah (di atas dagu),cumi-cumi
congek,penyakit telinga yang mengeluarkan cairan bercampur nanah,(cak) tuli
contoh,barang atau sebagian dari barang yang rupa macam dan keadaannya sama dengan semua barang yang ada,barang yang dapat mewakili barang yang lain karena sama sifat-sifatnya
cop,(cak) kata afektif untuk menyatakan bahwa apa yang dikatakan atau diperbuat adalah keliru sehingga perkataan atau perbuatan itu dicabut atau tidak diteruskan (berarti,→ kecup
corak,bunga atau gambar (ada yang berwarna-warna) pada kain (tenunan anyaman dsb),berjenis-jenis warna pada warna dasar (tentang kain bendera dsb)
coran,(Tek) hasil pengecoran,adukan semen dan batu kerikil
corek,garis panjang,coret
coret,garis panjang,coreng
coret-coret,garis-garis yang tidak keruan (pada kertas dsb),(cak) gambar yang dibuat dari garis-garis saja (yang dibuat dengan cepat dan hanya garis besarnya saja seperti untuk buram sketsa)
coretan,hasil mencoret,hal (cara perbuatan) mencoret
corong,pipa pembuang asap,cerobong
corong radio,alat untuk memasukkan suara yang akan disiarkan dengan radio,mikrofon
corot,cerat (pada cerek dsb),adj terakhir
cuak,(ark) binatang (seperti kerbau gajah) untuk memikat (gajah kerbau liar) supaya dapat ditangkap,adj takut
cuatan,hasil mencuat atau menonjol (tentang prestasi karya dsb),pancaran (perasaan) pada air muka
cubitan,perbuatan mencubit,getilan
cubung,→ kecubung,→ cubung-cubung
cuca,(kl) → mencuca,mantra (jampi) untuk menawar bisa mengobati luka mengebalkan tubuh dsb
cucuk,(Jw) cotok,paruh
cucunda,(kp) cucu Anda,cucu (untuk menyatakan takzim atau hormat)
cucur,pancaran menurun (tentang air mata dsb),bagian perahu sebelah depan yang menganjur panjang
cucuran,hasil mencucurkan,yang dicucurkan
cucut,hiu Pleurotremata,v → mencucut
cuka,cairan yang masam rasanya dibuat dari nira dsb,(Kim) zat cair yang mengandung 36% asam asetat diperoleh pada oksidasi etanol karena tindakan bakterium pada anggur
cukai,pajak atau bea yang dikenakan pada barang impor dan barang konsumsi,sebagian dari hasil tanah (seperti sawah ladang) yang wajib diberikan kepada tuan (pemilik) tanah sebagai ongkos tanah
cukilan,pembuatan gambar atau hiasan pada kayu dengan cara memahat melubangi mengukir kayu tersebut dengan pahat,hasil mencukil
cukong,orang yang mempunyai uang banyak yang menyediakan dana atau modal yang diperlukan untuk suatu usaha atau kegiatan orang lain,pemilik modal
cula,tanduk yang tumbuh pada hidung atau moncong (badak dsb),(kl) azimat yang bentuknya seperti cula
culak,pohon culak Callicarpa maingayi,(ark) → menculak
culan,pohon perdu biasanya dipergunakan untuk pagar hidup bunganya harum daunnya dipergunakan obat,pacar cina
culik,kulik-kulik keluar mencari mangsa pada malam hari,Chalcococyx honorata
culim,pipa tembakau,pengudut (madat)
cumbu,kata-kata manis yang dipakai untuk membujuk (waktu berkasih-kasihan dsb),senda gurau
cumbuan,kata-kata manis,bujukan
cumi-cumi,ikan laut termasuk golongan binatang lunak (Mullusca) kelas Cephalopoda tidak bertulang belakang menggunakan kepala sebagai alat untuk bergerak mempunyai sepuluh belalai di sekeliling mulut dan kantong tinta yang terdapat di atas usus besar dan bermuara di dekat anus yang berkontraksi dan mengeluarkan cairan hitam bila ada serangan dagingnya kenyal berwarna putih,ikan mangsi
cung,(Plb) terung,kacung
cungur,(Jk kas) moncong,congor
cup,tiruan bunyi barang yang dicelupkan dsb,kata seru untuk menyuruh diam
cupak,takaran beras (biasanya cupak = ¼ gantang),kepala pengudut (tempat candu dibakar)
cupang,tanda merah bekas gigitan atau cubitan pada tubuh,ikan hias yang biasa diadu (terutama yang jantan) panjang badannya antara 5cm berwarna hijau kehitam-hitaman merah kebiru-biruan dan hitam kebiru-biruan pada sirip ekor perut dan punggung telurnya dapat mencapai 100200 butir
cuping,bagian yang tidak bertulang pada daun telinga dan hidung,(Graf) sudut atau kiri dan/atau kanan pada halaman pertama surat kabar
cupu,cepu,lubang pada lesung
cura,kelakar,olok-olok
curiga,(kl) keris,berhati-hati atau berwaswas (karena khawatir menaruh syak dsb)
cus,tiruan bunyi api disiram air dsb,l kata seru untuk menyatakan gerakan yang sangat cepat dsb
D,huruf ke-abjad Indonesia,penanda keempat dalam urutan (mutu nilai dsb)
dada,bagian tubuh sebelah depan di antara perut dan leher,rongga tubuh tempat letak jantung dan paru-paru
dadah,berbagai obat yang tersedia (sudah terkemas siap pakai),bahan narkotik (seperti ganja heroin) yang membius meracuni dan membinasakan orang yang menggunakannya secara berlebihan
dadakan,sesuatu yang dilakukan secara tiba-tiba,adj datang dengan tiba-tiba
dadap,tumbuhan asli Indonesia sebagai peneduh ladang kopi dan penyubur tanah,Erythrina lithoperna
dadar,telur yang diaduk (dikocok) bersama bumbu (bawang merica garam dsb) kemudian digoreng berbentuk pipih,pelatihan
dadu,kubus kecil bersisi enam (biasanya terbuat dari kayu tulang gading atau plastik) pada keenam sisinya diberi bermata satu sampai enam yang diatur sedemikian rupa sehingga dua sisi yang saling berhadapan selalu berjumlah tujuh (digunakan dalam permainan berjudi dsb),benda berbentuk persegi empat yang mempunyai enam permukaan
dadung,dendang,tali besar (untuk menambat kerbau lembu dsb)
daerah,bagian permukaan bumi dalam kaitannya dengan keadaan alam dsb yang khusus,lingkungan pemerintah
daerah hitam,lingkungan tempat orang melakukan kejahatan,lingkungan pelacuran dsb
daerah seberang,daerah (pulau) di luar daerah sendiri,(cak) sebutan untuk daerah di luar Pulau Jawa
daerah seberang lautan,daerah yang harus dicapai dengan menyeberangi lautan,daerah jajahan
daerah sublitoral,daerah pantai yang biasanya mempunyai kedalaman kurang dari 200 m,daerah pantai yang mencakup permukaan air sampai ke batas terendah tempat tanaman dapat tumbuh
daerah Tingkat II,kabupaten,kota
daerah tujuan wisata,daerah yang memiliki objek wisata yang ditunjang oleh masyarakat dan prasarana pariwisata,tempat yang menjadi sasaran kunjungan wisata
dafnah,pohon yang selalu berwarna hijau tingginya 2m terdapat di Eropa Selatan karangan daunnya biasa dipakai sebagai tanda kehormatan bagi para olahragawan di gelanggang Olimpiade,Laurus nobilis
dag-dig-dug,tiruan bunyi dari debaran jantung,adj berdebar-debar (tentang jantung) karena sangat ketakutan
daga,(ark) → daga dagi,adj haus
dagang,pekerjaan yang berhubungan dengan menjual dan membeli barang untuk memperoleh keuntungan,jual-beli
dagangan,barang-barang yang diperjualbelikan (diperdagangkan),barang-barang yang dipikul
dagelan,lawakan,pertunjukan jenaka
daging,gumpal (berkas) lembut yang terdiri atas urat-urat pada tubuh manusia atau binatang (di antara kulit dan tulang),bagian tubuh binatang sembelihan yang dijadikan makanan
dagu,bagian muka di bawah mulut,bagian suatu benda yang menyerupai dagu
dah,(ark) dinas jasa kemanfaatan,baiklah
dahan,cabang batang pohon,bagian batang pohon yang tumbuh mencuat ke samping (beranting dan berdaun)
dahi,bagian wajah di atas mata,bagian kepala sebelah depan atas antara rambut dan alis
dahlia,tumbuhan yang akarnya berbonggol (berumbi) warna bunganya bermacam-macam,Dahlia pinnata
dahulu,(waktu) yang telah lalu,(masa) lampau
dajal,setan yang datang ke dunia apabila kiamat sudah dekat (berupa raksasa),(ki) orang yang buruk kelakuannya
dakhil,(Ar) yang di dalam,yang mengenai batin
daki,kotoran sisa debu bercampur keringat yang melekat pada tubuh (terutama pada kaki lengan leher),v → mendaki
daksina,(kl) selatan,kanan
dakwa,tuduhan,pengaduan atau tuntutan yang diajukan kepada hakim
dakwah,(Isl) penyiaran,propaganda
dalal,(Ar) perantara jual beli,makelar
dalalah,(Ar) perempuan yang memperhubungkan laki-laki dan perempuan dengan memperoleh uang jasa,induk semang perempuan lacur
dalang,orang yang memainkan wayang,(ki) orang yang mengatur (merencanakan memimpin) suatu gerakan dengan sembunyi-sembunyi
dalem,(Jw) rumah,istana
dalil,keterangan yang dijadikan bukti atau alasan suatu kebenaran (terutama berdasarkan ayat Alquran),patokan dalam matematika dsb
dalung,dulang besar dibuat dari logam (perak),(Jw) lampu besar dibuat dari logam (tembaga) dipakai pada pertunjukan wayang kulit
dam,jenis permainan dengan keping-keping bulat dan papan bertapak catur,corak tapak catur (tentang corak kain dsb)
damai,tidak ada perang,tidak ada kerusuhan
damar,getah keras yang berasal dari bermacam-macam pohon (banyak macamnya seperti -- batu -- daging -- hitam),lampu
damar mata kucing,damar gemerlap,suluh yang memakai damar
dambin,(ark) tiruan bunyi benda berat jatuh,debuk
dampak,benturan,pengaruh kuat yang mendatangkan akibat (baik negatif maupun positif)
dana,uang yang disediakan untuk suatu keperluan,biaya
dana segar,suntikan dana yang didapatkan melalui bursa yang sedang meningkat,suntikan dana untuk memperbaiki struktur keuangan dan memperkuat modal
danau,genangan air yang amat luas dikelilingi daratan,telaga
dandanan,(Jk) pakaian,hiasan (berupa pakaian dsb)
dandang,periuk besar untuk mengukus nasi biasanya dibuat dari tembaga atau aluminium,wadah terbuka atau bertutup untuk menguapkan zat cair atau membangkitkan uap air
dandi,(kl) gendang kecil,kecapi (alat musik)
dangkung,penyakit kusta yang telah parah (terutama yang telah membusukkan kulit),v → mendangkung
danta,(kl) gigi,gading
Danuh,orang memanah,nama rasi bintang yang ke-9
dapur,ruang tempat memasak,tempat membakar batu bata batu kapur dsb
dar,(Ar) tempat,daerah
dara,anak perempuan yang belum kawin,gadis
darab,(ark) pukulan keras,perkalian
darah,cairan terdiri atas plasma sel-sel merah dan putih yang mengalir dalam pembuluh darah manusia atau binatang,(ki) keturunan
darah daging,anak kandung,keluarga
darah rendah,keadaan tekanan darah yang berada di bawah normal tekanan sistolik kurang dari 100 mm Hg,penyakit yang disebabkan oleh tekanan darah yang menurun secara tidak normal
darah tinggi,keadaan tekanan darah yang berada di atas normal tekanan sistolik lebih tinggi dari 160 mm Hg,penyakit yang disebabkan oleh tekanan darah yang naik secara tidak normal
darat,bagian permukaan bumi yang padat,tanah yang tidak digenangi air (sebagai lawan dari laut atau air)
darurat,keadaan sukar (sulit) yang tidak tersangka-sangka (dalam bahaya kelaparan dsb) yang memerlukan penanggulangan segera,keadaan terpaksa
darusalam,alam kesejahteraan (akhirat),alam atau negeri yang aman
das,tiruan bunyi tembakan senapan,bunyi tembakan (tiap kali keluar dari senapan)
dasar,tanah yang ada di bawah air (tentang kali laut dsb),bagian yang terbawah (tentang kuali botol dsb) yang di sebelah dalam ataupun yang di sebelah luar
dasun tunggal,bawang putih yang tunggal,(ki) bentuk hidung yang elok
data,keterangan yang benar dan nyata,keterangan atau bahan nyata yang dapat dijadikan dasar kajian (analisis atau kesimpulan)
data lapangan,kumpulan data yang diperoleh dengan cara melakukan pengukuran langsung (tidak menggunakan satelit),kumpulan data yang diperoleh dengan cara melakukan pengukuran langsung di lapangan
dataran,tanah yang datar,lapangan
datu,(Sas) raja,ratu
datuk,bapak dari orang tua kita,kakek
daulat,(kl) berkat kebahagiaan (yang ada pada raja),bahagia
daun,bagian tanaman yang tumbuh berhelai-helai pada ranting (biasanya hijau) sebagai alat bernapas dan mengolah zat makanan,bagian barang yang tipis lebar (seperti -- dayung
daun encok,tumbuhan perdu (semak) yang tingginya mencapai 2m tumbuh tegak daunnya tumbuh berseling berwarna hijau dapat digunakan sebagai obat encok,Plumbago zeylanica
daun-daunan,mainan sebagai daun,berbagai macam daun
daur,peredaran masa atau tahun,(Fis) sistem keadaan (fase) yang keadaannya sekarang dapat berulang pada suatu saat di masa mendatang
daur ulang,peredaran ulang suatu masa,(Kim) pemrosesan kembali bahan yang pernah dipakai misal serat kertas dan air untuk mendapatkan produk baru
daya,kemampuan melakukan sesuatu atau kemampuan bertindak,kekuatan
daya dukung,jumlah maksimum populasi yang mendukung kelangsungan kehidupan di alam,(Ikn) jumlah maksimum ikan yang hidup di suatu perairan selama masa tertentu
daya guna,kemampuan mendatangkan hasil dan manfaat,efisien
daya serap,kemampuan menyerap (mengisap) benda cair,kemampuan suatu kegiatan menyerap dana (anggaran)
daya suai,kemampuan menyesuaikan diri,daya adaptasi
dayang,gadis pelayan di istana,(kl) anak perempuan gadis
dayung,tongkat besar yang pipih dan lebar pada ujungnya untuk mengayuh (menjalankan menggerakkan) perahu,pengayuh
debik,tiruan bunyi orang menepuk,(ark) embik
debit,uang yang harus ditagih dari orang lain,piutang
debus,tiruan bunyi embusan angin bertiup,→ dabus
debut,tiruan bunyi kentut,tiruan bunyi kentut
decak,tiruan bunyi jam,bunyi cek dari mulut
decap,tiruan bunyi orang mengecap makan,denyar
dedak,serbuk halus dari kulit padi (untuk makanan ayam itik dsb),adj → berdedak
dedas,(ark) tiruan bunyi letusan kecil-kecil (tentang senapan dsb),rasa tidak tuntas (tentang kencing)
dedes,musang,kesturi yang harum baunya
deduksi,penarikan kesimpulan dari keadaan yang umum,penyimpulan dari yang umum ke yang khusus
definisi,kata frasa atau kalimat yang mengungkapkan makna keterangan atau ciri utama dari orang benda proses atau aktivitas,batasan (arti)
deflagrasi,(Kim) proses pembakaran yang berlangsung dalam waktu singkat biasanya disertai nyala yang terang dan suara gemertak,(Idt) pembersihan baja dengan panas berukuran tinggi
deflasi,(Ek) penambahan nilai mata uang antara lain dengan pengurangan jumlah uang kertas yang beredar dengan tujuan mengembalikan daya beli uang yang nilainya menurun,gejala perekonomian yang merupakan akibat keadaan tersebut seperti penurunan produksi langkanya lapangan kerja rendahnya daya beli masyarakat
defleksi,penyimpangan arah misal penyimpangan arah angin yang disebabkan oleh rotasi bumi,(Ling) hilangnya infleksi misal bila dua akhiran kasus bergabung menjadi satu
degap,tiruan bunyi papan dipukul,tiruan bunyi debaran jantung
degenerasi,kemunduran atau kemerosotan generasi (tidak sebaik generasi sebelumnya),(Dok) kemunduran perubahan menjadi sesuatu yang rusak
degung,tiruan bunyi gong dsb,gamelan Sunda
degup,tiruan bunyi benda seperti kopor jatuh ke tanah,tiruan bunyi denyut jantung yang keras
dehidrasi,(Kim) proses membuang molekul air dari hablur atau senyawa atau reaksi kimia,kehilangan cairan tubuh
dek,geladak kapal,l (Mk ark) oleh karena
dekan,ulat pemakan buluh,Rhizomys sumatransis
dekapan,hasil mendekap,hal (perbuatan) mendekap
deklarasi,pernyataan ringkas dan jelas (tentang suatu hal),keterangan lengkap tentang uang biaya perjalanan barang yang masuk dsb
deklinasi,perubahan ke arah yang lebih kecil lemah atau rendah,(Fis) sudut yang dibentuk oleh jarum magnet (pada kompas) dengan arah utara
dekode,pengubahan informasi dari bentuk sandi dsb ke dalam bahasa yang dikenal,pengubahan suatu sistem kode ke sistem kode yang lain
dekoder,ahli sandi,alat untuk membaca sandi balik
dekor,(Sen) perlengkapan panggung teater yang diatur sedemikian rupa sehingga menggambarkan tempat kejadian,latar belakang suara (dalam siaran sandiwara radio)
dekorasi,setiap bagian dari perlengkapan dekor panggung teater,hiasan atau perhiasan sementara dari ruangan gedung jalan dsb
dekorator,orang yang mengerjakan dekorasi,penghias panggung teater
deksa,bangunan yang kuat,bagian dari patung
delap,api dan asap yang keluar dari mulut senapan pada saat ditembakkan,adj (ark) suka meminta sesuatu kepada orang lain tanpa mempunyai rasa malu
delegasi,orang (orang) yang ditunjuk dan diutus oleh suatu perkumpulan (negara dsb) dalam suatu perundingan (musyawarah dsb),perutusan
delik,(Huk) perbuatan yang dapat dikenakan hukuman karena merupakan pelanggaran terhadap undang-undang,tindak pidana
delima,tumbuhan perdu dengan cabang yang rendah dan berduri jarang daunnya kecil-kecil agak kaku berwarna hijau berkilap buahnya berkulit kekuning-kuningan sampai merah tua dapat dimakan kalau masak merekah,Punica granatum
delta,(Geo) tanah endapan berbentuk segitiga di muara sungai,nama huruf ke-abjad Yunani
demang,kepala distrik,wedana pada zaman Pemerintahan Hindia Belanda
demiliterisasi,berhentinya proses militerisasi,pembebasan dari ikatan atau dari sifat-sifat kemiliteran
demo,(ark) kendaraan bermotor beroda tiga (hampir sama dengan bemo),(kp) demonstrasi
demokrasi,(Pol) (bentuk atau sistem) pemerintahan yang seluruh rakyatnya turut serta memerintah dengan perantaraan wakilnya,pemerintahan rakyat
demon,makhluk atau roh yang jahat,hantu
demonstrasi,pernyataan protes yang dikemukakan secara massal,unjuk rasa
dempang,tiruan bunyi tong (kaleng besar dsb) kosong jatuh dsb,adj berhampiran
demung,(Jw) kepala distrik (lokal),(Jw) alat musik (gamelan semacam gambang dari logam)
den,(Jw kp) raden (kata sapaan untuk seorang pemuda yang dianggap lebih muda derajatnya),pron (Mk) saya
denah,gambar yang menunjukkan letak kota jalan dsb,peta
denawa,→ danawa,(ark) pegawai polisi desa
dendaan,hasil mendenda,uang pendapatan mendenda
dendang,nyanyian ungkapan rasa senang gembira dsb (sambil bekerja atau diiringi bunyi-bunyian),(burung) gagak
denervasi,(Dok) pemotongan penghambatan suatu saraf,keadaan dengan saraf yang terpotong atau terhambat
dengkul,lutut,adj (ki) bohong
dengkur,tiruan bunyi napas yang kuat dari orang tidur,keruh
denguk,tiruan bunyi nguk,v → terdenguk
dentin,bahan berzat kapur mirip dengan bahan tulang tetapi lebih keras dan padat (tugas utamanya membentuk bagian terpenting dari gigi),tulang gigi
